CONFIG,seed=123456789,taps=11
H,tick,birdX,birdY,velY,rotation,rotVel,rotAccel,gravity,hit,idle,score,landX,p1x,p1y,p2x,p2y,p3x,p3y,speed,warmup,rngY,rngZ
START,seed=123456789,rngY=118540483,rngZ=-1911680585
I,180
S,180,80,-1,-4.7,-20.0,-9.6,0.4,0.3,false,false,0,-14,188,220,345,232,502,183,2,0,106633547,-1948960463
S,181,80,-5,-4.3999996,-20.0,-9.200001,0.4,0.3,false,false,0,-16,186,220,343,232,500,183,2,0,106633547,-1948960463
S,182,80,-9,-4.0999994,-20.0,-8.800001,0.4,0.3,false,false,0,-18,184,220,341,232,498,183,2,0,106633547,-1948960463
S,183,80,-12,-3.7999995,-20.0,-8.400002,0.4,0.3,false,false,0,-20,182,220,339,232,496,183,2,0,106633547,-1948960463
S,184,80,-15,-3.4999995,-20.0,-8.000002,0.4,0.3,false,false,0,-22,180,220,337,232,494,183,2,0,106633547,-1948960463
S,185,80,-18,-3.1999996,-20.0,-7.600002,0.4,0.3,false,false,0,0,178,220,335,232,492,183,2,0,106633547,-1948960463
S,186,80,-20,-2.8999996,-20.0,-7.2000017,0.4,0.3,false,false,0,-2,176,220,333,232,490,183,2,0,106633547,-1948960463
S,187,80,-22,-2.5999997,-20.0,-6.8000016,0.4,0.3,false,false,0,-4,174,220,331,232,488,183,2,0,106633547,-1948960463
S,188,80,-24,-2.2999997,-20.0,-6.4000015,0.4,0.3,false,false,0,-6,172,220,329,232,486,183,2,0,106633547,-1948960463
S,189,80,-26,-1.9999998,-20.0,-6.0000014,0.4,0.3,false,false,0,-8,170,220,327,232,484,183,2,0,106633547,-1948960463
S,190,80,-27,-1.6999998,-20.0,-5.6000013,0.4,0.3,false,false,0,-10,168,220,325,232,482,183,2,0,106633547,-1948960463
S,191,80,-28,-1.3999999,-20.0,-5.2000012,0.4,0.3,false,false,0,-12,166,220,323,232,480,183,2,0,106633547,-1948960463
S,192,80,-29,-1.0999999,-20.0,-4.800001,0.4,0.3,false,false,0,-14,164,220,321,232,478,183,2,0,106633547,-1948960463
